"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07"
"United States","National",0,326569308,,,,0.0680696424537379,0.0690832826833739,0.0695016913185788,0.0696938169666377,0.0701469557557476,0.0700973137592466,0.0698072414054942,0.0701847826545232,0.0699816558276396,0.0688594391781147,0.0680320516684914,0.0669728271706395,0.0669364512734763,0.0679375845943259,0.0687717854228804,0.0690153037725937,0.0686590003259132,0.067994464655609,0.066896844965211,0.0654230784091395,0.0643085878176506,0.0635096082978232,0.0631806924580882,0.0637910078450171,0.0645678809196955,0.0654853060219338,0.0663453468857137,0.0666487296707908,0.0665089885763722,0.0659038608072855,0.0651530891256075,0.0642847457294195,0.0638165318948528,0.0636945871717668,0.0639564638697019,0.0646789581329268,0.0653467509819545,0.0660555136252682,0.0669149492205696,0.0687744561491327,0.0707494275566742,0.0720012993833501,0.0722522457056288,0.0711541459787623,0.0695763803244294,0.0683270069646946,0.0676963671718739,0.0673821093660526,0.0665097060326498,0.0651804739644826,0.0631480647919385,0.0595216034337451,0.0554223131057833,0.0508019630152059,0.0462648468038094,0.0428805994636231,0.0409927547954438,0.0405906576856336,0.0412728150098016,0.0426621547116058,0.0441753306677444,0.0459323469675894,0.0474802582692265,0.0486500415676748,0.0493737559713742,0.0497181577627975,0.0502745870796708,0.0513294172796867,0.0530530744049763,0.0550555816444997,0.057083533460973,0.0592647318399513,0.0613249892569813,0.0635679555587605,0.065927096320417,0.0680601742119373,0.0701112755787838,0.0718929445645069,0.0733858342040946
"California","State",6,39346023,"California",,,0.0483293624103204,0.0514600645918619,0.0516925266340681,0.0513949192182638,0.0521499345425772,0.05178400480296,0.0519082620074199,0.0529210702216848,0.0536284121238952,0.0535598863880636,0.0537561421090428,0.0536473977916346,0.0535896061263006,0.0535669322274313,0.0535531491078293,0.0535426965567708,0.0536781020701707,0.0544152769519858,0.0551005290190661,0.0550806267858209,0.0547282939243825,0.0542726702831623,0.0537591414874228,0.0541269584576019,0.0547268959536104,0.0550906464298079,0.0559438239493172,0.0562453430152607,0.0564681542362825,0.0567154799859852,0.0564370010389277,0.056001733789876,0.0561417811026753,0.0563963722360749,0.0566875119744127,0.0572799884712402,0.0573032376425619,0.0571587286745244,0.0573569832241048,0.0592987677401348,0.0616746530440437,0.0644884307963844,0.0668721862085727,0.067697560377309,0.0675550286919817,0.0662956045399318,0.0647624727224291,0.0627907965126116,0.0607267200721037,0.0587765395409386,0.0566796691089502,0.0537859930014543,0.0503435067110469,0.046353086488573,0.0421177902096282,0.038372113047577,0.0361289463258459,0.0355924226198529,0.0360590170112351,0.0373595621603975,0.0384068510485291,0.0390210380619861,0.0395557535519426,0.0398113640981355,0.0401267335810304,0.0404878856474076,0.0409074683652879,0.0419502308010809,0.0435032100724151,0.0451463962738036,0.04688391128646,0.0485596752939916,0.049689768298792,0.0507673191669472,0.0519112980350156,0.052747518403495,0.0538950873266183,0.0550149377401194,0.0555817401761226
"Texas","State",48,28635442,"Texas",,,0.0864123262328763,0.0873818083825323,0.0883799845342939,0.0889584187190938,0.0897762646932276,0.0901105233295738,0.0898406875242133,0.0902792719574275,0.0883942165222042,0.0853949203461454,0.0828861180700684,0.0801697903480122,0.0804785949784733,0.0817657325503064,0.0826246416584463,0.082809209208581,0.0824528252302648,0.0821419163066769,0.0816023799940814,0.0808841253303321,0.0806231615870591,0.0808381496765486,0.0813880966648887,0.0826286989520315,0.0839161542563817,0.0850470007263681,0.0858506659599129,0.0859790057209624,0.0853963223845476,0.0841868351269894,0.0829137335539511,0.0816358664368881,0.0808194265166352,0.0804781388885915,0.080642162613756,0.0811899620465628,0.0819452914986431,0.0830061190796792,0.0840450101606737,0.0858450363763839,0.0874205435278872,0.0880279331251084,0.0878953989565197,0.0869708949030498,0.0856877599372418,0.0848953120897833,0.0846975269383522,0.0848118581730661,0.0841106409098347,0.0824627013711317,0.0795179739425005,0.074501018877138,0.0691555030611571,0.0634250313529601,0.0581697169573817,0.0542122545261456,0.0517873852302037,0.0507388716129386,0.0508635876227759,0.0516924079068431,0.0528966894304161,0.0548458478659541,0.0567657429577948,0.0586611591879791,0.0599205094559048,0.0606479960212457,0.0615544690902576,0.0627574236444433,0.0648271028440729,0.06720586564952,0.0696211051055231,0.0724887521262214,0.0751973869184455,0.0782270625618822,0.0815579597672347,0.0839436785210859,0.086184630023428,0.0881816082450317,0.0898808953511507
"Florida","State",12,21216924,"Florida",,,0.0698070506780849,0.0718003246680044,0.073415455189831,0.0746517614697913,0.0772097328333291,0.0779312936568277,0.0773276220188265,0.075896739017807,0.0735632455370715,0.0706795461476744,0.0676804294798266,0.0649682597713973,0.0632832487959367,0.0637129458342735,0.0649996861837832,0.0666264354896519,0.0672932195406618,0.0671239779664237,0.066097052660246,0.0639359524694571,0.0624400511166414,0.0616254588069592,0.0610340982541801,0.0617645872999727,0.0626261044009356,0.0635341718291666,0.0647751909398815,0.0657414057324407,0.066698546230275,0.0666263396633574,0.0664203407324298,0.0657949333626544,0.0654208374131873,0.0656113417198819,0.0661913058185779,0.0676137311745149,0.0683064149762071,0.0691720365841976,0.0704605180633827,0.0726554116426234,0.0749680397794261,0.0763958472342187,0.0762607686293626,0.0749003243225659,0.073092975998936,0.0712192943879225,0.0704316438595704,0.0695603745488274,0.0675618131985872,0.0647557246209447,0.0604698533395082,0.054306495007853,0.0479493501180386,0.041599395484423,0.0360125546016683,0.0320564124272237,0.0304258134207811,0.0306784740569565,0.0320825905901723,0.0345438088337249,0.0371408277994532,0.0399673306805941,0.0428322676881524,0.0451466742485641,0.0471209140376212,0.0486198769995904,0.0499966714734327,0.0515438309167202,0.053045601661479,0.0543895668277601,0.0552361223332098,0.056306734470885,0.0577986543891171,0.0600674382937675,0.0629888721848092,0.0656594450996293,0.0685449882463689,0.0712904878478942,0.0736954451902764
"New York","State",36,19514849,"New York",,,0.0425620677116118,0.0511170391945552,0.0528139419091822,0.0531954659571099,0.0562114808916545,0.0571676084252348,0.0558265734978578,0.0548391004794045,0.0546800203282564,0.0502266265989284,0.0494585091101561,0.0495300123027455,0.0489104314283237,0.0503132173675693,0.0509934126222623,0.0512383986014337,0.0511501935475061,0.0506798180864106,0.0499989948401238,0.0483438621161738,0.0468538901237734,0.045662507298397,0.0453568561239333,0.0457618578386275,0.0464276381118857,0.046999239758112,0.047316641949201,0.0472098499215527,0.046246596251403,0.0458538492383971,0.0447506583203018,0.0432205022859579,0.0429214424062845,0.0414246279826677,0.0406507933490608,0.0410264536261843,0.0405157317026153,0.0411484026438719,0.0412262984851962,0.0417832792036872,0.0457061184594378,0.0506234427529229,0.0553047582738486,0.0589882535172974,0.0591256214847734,0.0589049736583713,0.058478336811842,0.0582165756524358,0.0581872508405615,0.0571891891828756,0.0559787900589448,0.0536760538119724,0.050756112040863,0.0464725783522662,0.0425555338075909,0.0394344684652204,0.0365874721074684,0.0348886253705814,0.0335371840416566,0.0326618718810736,0.0322417514769106,0.0326182309291771,0.0337404027963848,0.0347319277567312,0.0352801061862501,0.0357393319978913,0.0370615410979429,0.0386954690579801,0.0415664013250479,0.0438991926571323,0.0454444647440599,0.0470723790253041,0.0483793593419468,0.0496710780444777,0.0502433993287561,0.0503614406916688,0.0493247985263282,0.0487542061868066,0.0482261711811862
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19261570,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.0443539662198214,0.0508952245345559,0.0521997808742515,0.0529127933238557,0.0565337093044443,0.0581310028361718,0.057649672641927,0.0564975886909557,0.0539061180721968,0.0506672660895565,0.0506532218421777,0.051875145279294,0.0540603838806113,0.0558183178319047,0.0570331098521167,0.057851239843412,0.0581435065225367,0.0576008163320255,0.0570643890050074,0.0552619745181782,0.0533196788425987,0.0516304389681227,0.0498888090289935,0.0491214409574213,0.0485973195118896,0.0487938631548189,0.049600382045402,0.0497109858288412,0.0496594486789443,0.0492225668794836,0.047604621501407,0.0458432637655531,0.0445836798826328,0.0426705953288807,0.0413399141520863,0.0411896502249986,0.0405178823724297,0.0406230476446919,0.0406835807809298,0.0416984528363421,0.0446876104436696,0.0492537748714346,0.0538192760837555,0.0571947392591228,0.0583285277733879,0.0579953137755623,0.0572971815751054,0.0568028557053888,0.0558922197925661,0.0546395675852778,0.0531334585725599,0.0503506597319601,0.0476698512556547,0.0440812666773615,0.0404016780539406,0.0374476205902937,0.0346760469752329,0.0327254825140584,0.0318085452226588,0.0307888957062349,0.0303756297463868,0.0304808459254765,0.0305131290138542,0.0308552937083202,0.031104524451052,0.0311972656991367,0.032097565589593,0.033406646346985,0.0354640220937274,0.0375053103026981,0.0388189432002657,0.0398525099404457,0.0405319293795467,0.0409095109743853,0.0413977319709652,0.0426863467433721,0.0445680551931317,0.0470876197123921,0.0497829385719484
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13211027,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0519231982236657,0.0569225116656992,0.0578353688683511,0.0583626230591925,0.0605989560840604,0.0605200568670333,0.0606674496519901,0.0608222708137291,0.0604765953078889,0.0597053478386914,0.0594705154952288,0.0592172282320421,0.059003971463286,0.0586423267509432,0.0586528718665345,0.0591502601403705,0.0605253941084071,0.0629329345311978,0.0644169822198573,0.0642622350623678,0.0629095292987743,0.0610596496691274,0.0591874200894003,0.0587513574016745,0.0591084117241047,0.0594282702053573,0.0610858577603378,0.0621177106074409,0.0633897582238993,0.064394075168874,0.0640292762438969,0.0627080190298626,0.061732688040299,0.0606508532390454,0.0597801508682049,0.0600424481384932,0.0600001563790329,0.0605952834153805,0.0621876146704698,0.0662658448524558,0.070309342004808,0.0741799963512252,0.0770361248533476,0.077170969696249,0.0757036085928136,0.0737368343924388,0.071448079602532,0.0694727868420506,0.0681924999201825,0.0665103752868271,0.0650604358392741,0.0621540579789315,0.0581702892505586,0.0530567455753414,0.0470152301634987,0.0412338062711539,0.0371573367887091,0.0355213773951111,0.0352583438032484,0.0362311674815106,0.0372129435073772,0.037742066267604,0.0385893964383167,0.0395170252239758,0.0405429926861814,0.0416845715372414,0.0422076487600641,0.0427481749243669,0.0434984809085931,0.0443181963402531,0.0459601720753384,0.0479901757513251,0.0496740699967286,0.0511909138697399,0.0529060099817489,0.0544235147354619,0.0562741753003915,0.0579966768143612,0.058795842293463
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.063641879814903,0.0610798714285238,0.0610533441584872,0.0620770502244709,0.0624734690145956,0.0646872357781678,0.0663744580100785,0.0679394327551984,0.0693289281620562,0.0688372731054886,0.0687160306497043,0.0691462142331525,0.0700033512687189,0.0724165117220371,0.0740976181816154,0.0740092165409079,0.071175052182077,0.0670902767687858,0.061996203200812,0.0564512157337999,0.0531413530572994,0.0515790942958893,0.0508997992457429,0.0512498989012159,0.0518111648620864,0.0517753670245205,0.052351574212295,0.0527373265475306,0.053068707830318,0.0529712462905149,0.0524181021564395,0.0512243507067961,0.0515536443572036,0.0513510307102098,0.0525650200889366,0.0531742755347804,0.0526609074053243,0.0531311835803688,0.0537132772457142,0.0567314279804222,0.0608583423743919,0.0649752358697275,0.0676564103416746,0.0690505986504318,0.0683803639793433,0.0667583030903297,0.0651426516617627,0.0641799597751675,0.0642293852750308,0.0644153791709975,0.0641799707359499,0.0623671903261418,0.0582188406669026,0.0529573262729586,0.0469565605197744,0.0412862707863953,0.037118383750404,0.0349309603909049,0.0346838003364369,0.0358695815061225,0.038715947631542,0.0424038250655884,0.0458176812353455,0.048155717392165,0.0487439064774632,0.0479140106579741,0.04692464149622,0.0467191379180874,0.0472452394733209,0.0485277082638714,0.0499759699543317,0.0512933184476618,0.0532983708731424,0.0558117247881707,0.0589139115161209,0.0623790896130006,0.0648465371720083,0.0666250544481781,0.0669565609328227
"Illinois","State",17,12716164,"Illinois",,,0.0549902669331866,0.0545692820379672,0.0538883438616331,0.0543523653100632,0.055023054175307,0.0563964964116918,0.0592590949411506,0.0632860462053022,0.068037242255389,0.0706469911608327,0.0726594685776129,0.0723450380791459,0.0714981509020581,0.0726436862896789,0.0738187741136539,0.0734413001481053,0.0715419376741827,0.0696363701516935,0.0667850953573685,0.0651391045259093,0.0643453015943092,0.0629438070254206,0.0614985000021796,0.0613620101791182,0.0610363209994288,0.0613817900006422,0.0617400736324304,0.0610916274052604,0.0608869506882895,0.0607769990708709,0.0611540318255613,0.0613559515034274,0.061091332031534,0.0600066565099218,0.0585785260654273,0.0580178337086812,0.0575781671779566,0.0575419397728571,0.0589898583869429,0.0612429606758116,0.0656041365512068,0.0706289552797028,0.0747292931719114,0.0774831563918999,0.0776712946248803,0.0769491188276496,0.0751527422842635,0.0735188236606594,0.0717490197485368,0.0694535023980409,0.0673186714068018,0.063857609924205,0.060549580330999,0.0573233802224513,0.0538660235317415,0.0507141625228547,0.0476986838855203,0.0453481808221842,0.0438938768004384,0.0437062068094381,0.0444497688248799,0.0454955872921888,0.0467197622712462,0.0474786986553544,0.0474021231274972,0.0472970014583458,0.0473551855263645,0.0476241227744195,0.0483004741944427,0.0489224962217781,0.0492969012096198,0.0504316656000442,0.0512061858037844,0.0519746381639317,0.0529671660027845,0.0538893226019502,0.0558404997377549,0.0581436939291621,0.0602050143105314
"Ohio","State",39,11675275,"Ohio",,,0.092311947754505,0.0810547869201376,0.0768214845829973,0.0740951000852925,0.0653442468597026,0.0611689927637617,0.0580241250481166,0.0596034208652372,0.0632662826568831,0.0639399676790764,0.0638207513032565,0.0596855471879806,0.0557998699684094,0.0565173400426487,0.0559790387640394,0.0551207061586003,0.0538655314824648,0.0512141404842582,0.0496492717413368,0.0481893517225211,0.0469260368395853,0.0469489004624912,0.0472638053292832,0.048462122501268,0.0504077765788666,0.052091459762624,0.0540919516650664,0.0548089959311647,0.0539553338411097,0.0524340321820961,0.0504378840866971,0.0485309645027547,0.047724382984109,0.0477545585879594,0.0482026892657131,0.0497294577931996,0.0511403598792998,0.0522684110846375,0.0532619879653092,0.0538331182112258,0.0541017342066422,0.053727133867312,0.0526651979620459,0.0516361105994415,0.050504246938974,0.0499293877346666,0.0500438522502982,0.050023505532662,0.0497812214294183,0.0489119551713285,0.0471426029891198,0.044289322194141,0.0410426291327815,0.0376819192304343,0.034894196804282,0.0331478390571034,0.0324851461127569,0.0326201419515784,0.0330973052030778,0.0337724752151931,0.0341900951182085,0.035025069263868,0.0361256507074653,0.0369469301958728,0.0375374354208904,0.0374074932149983,0.0372568006322777,0.0381090074753563,0.0398538482599106,0.0421122616954366,0.0444961906849559,0.0467120168554527,0.048747730279369,0.0508045304492048,0.0522706693024514,0.0533813571356741,0.0545167085429459,0.0562426524789081,0.0586552042416529
