name,state,total_population,median_household_income,gross_rent,median_home_value,total_in_labor_workforce,total_not_in_labor_workforce,total_education,education_no_hs,education_hs,education_associates,education_bachelors,education_graduate,total_occupancy_status,occupancy_status_occupied,occupancy_status_vacant,total_home_tenure,home_tenure_owner_occupied,home_tenure_renter_occupied,reporting_date,region_type,city
ZCTA5 78245,48,76392,72564,1251,168900,54914,16059,45258,5314,12398,16349,7857,3340,22634,21283,1351,21283,15544,5739,2020-01-01,zipcode,San antonio
ZCTA5 78247,48,53597,78974,1274,188600,42366,12505,36127,2200,8668,13299,8367,3593,18495,17644,851,17644,13584,4060,2020-01-01,zipcode,San antonio
ZCTA5 78253,48,41900,105820,1434,251500,30040,8649,24792,1527,4250,8778,6208,4029,12930,11930,1000,11930,9731,2199,2020-01-01,zipcode,San antonio
ZCTA5 78256,48,11435,93866,1353,425700,9425,2616,6192,138,416,1698,2080,1860,4849,4122,727,4122,1279,2843,2020-01-01,zipcode,San antonio
ZCTA5 78259,48,26591,91616,1214,286000,20812,6643,18289,850,2953,5436,5278,3772,10031,9502,529,9502,6441,3061,2020-01-01,zipcode,San antonio
ZCTA5 78260,48,26164,120670,1811,353100,19387,6268,16759,689,2127,4625,6001,3317,8351,7947,404,7947,7169,778,2020-01-01,zipcode,San antonio
ZCTA5 78339,48,476,54038,-666666666,68900,383,141,321,123,62,37,68,31,264,166,98,166,166,0,2020-01-01,zipcode,Banquete
ZCTA5 78359,48,2218,35625,599,73700,1609,685,1266,354,495,337,62,18,773,644,129,644,407,237,2020-01-01,zipcode,Gregory
ZCTA5 78361,48,5273,36045,496,80100,3603,1415,2914,720,1166,630,277,121,2456,1563,893,1563,1120,443,2020-01-01,zipcode,Hebbronville
ZCTA5 78369,48,378,-666666666,-666666666,-666666666,308,150,242,68,93,66,15,0,262,146,116,146,108,38,2020-01-01,zipcode,Mirando city
ZCTA5 78370,48,4458,63036,877,124300,3382,1436,2895,631,818,948,257,241,1837,1497,340,1497,1122,375,2020-01-01,zipcode,Odem
ZCTA5 78373,48,4407,71182,1594,376800,4013,1802,3638,84,1137,1102,833,482,5137,2090,3047,2090,1461,629,2020-01-01,zipcode,Port aransas
ZCTA5 78377,48,3510,53000,578,88400,2700,1284,2244,305,1034,692,151,62,1765,1198,567,1198,762,436,2020-01-01,zipcode,Refugio
ZCTA5 78382,48,19313,53674,935,185300,16324,7737,14349,1796,3432,5310,2548,1263,13444,8033,5411,8033,6720,1313,2020-01-01,zipcode,Rockport
ZCTA5 78385,48,391,40083,-666666666,-666666666,270,116,270,211,39,16,1,3,186,129,57,129,27,102,2020-01-01,zipcode,Sarita
ZCTA5 78002,48,5758,53299,939,115800,4454,1922,3494,926,1201,1179,153,35,1639,1529,110,1529,1192,337,2020-01-01,zipcode,Atascosa
ZCTA5 78017,48,6120,48143,766,87700,4660,2882,3435,1036,1120,855,190,234,1531,1127,404,1127,645,482,2020-01-01,zipcode,Dilley
ZCTA5 78001,48,0,-666666666,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-01,zipcode,Artesia wells
ZCTA5 78007,48,198,96845,-666666666,162500,112,46,112,5,75,28,4,0,162,67,95,67,58,9,2020-01-01,zipcode,Calliham
ZCTA5 78011,48,1574,32083,568,41200,1169,547,969,374,331,226,38,0,718,558,160,558,495,63,2020-01-01,zipcode,Charlotte
ZCTA5 78016,48,10940,50176,752,105300,8593,3317,7417,1356,2525,2254,906,376,4074,3442,632,3442,2431,1011,2020-01-01,zipcode,Devine
ZCTA5 78076,48,13279,32560,512,87600,9276,4109,7412,2564,2239,1713,814,82,5864,4377,1487,4377,3039,1338,2020-01-01,zipcode,Zapata
ZCTA5 78947,48,4679,59980,1159,210100,3717,1665,3234,170,1268,1345,282,169,2190,1742,448,1742,1562,180,2020-01-01,zipcode,Lexington
ZCTA5 78948,48,320,-666666666,-666666666,357100,308,180,296,99,134,54,3,6,336,154,182,154,132,22,2020-01-01,zipcode,Lincoln
ZCTA5 78957,48,9218,63036,1031,194900,7465,2836,6546,689,1937,2295,1239,386,4425,3483,942,3483,2813,670,2020-01-01,zipcode,Smithville
ZCTA5 78962,48,5290,63678,519,174000,4412,1740,3574,490,1221,1037,585,241,2688,1906,782,1906,1550,356,2020-01-01,zipcode,Weimar
ZCTA5 07080,34,23961,108244,1675,352200,19725,6036,17443,1273,4830,4561,4353,2426,8464,8198,266,8198,7063,1135,2020-01-01,zipcode,South plainfield
ZCTA5 07502,34,15762,50871,1308,260600,11783,4109,9784,2024,3999,2461,1005,295,4625,4412,213,4412,2155,2257,2020-01-01,zipcode,Paterson
ZCTA5 07522,34,21301,39974,1210,198900,15463,5934,12761,3116,5979,2241,1218,207,6947,6396,551,6396,1168,5228,2020-01-01,zipcode,Paterson
ZCTA5 07457,34,4179,112688,2496,336500,3539,1069,3097,141,784,676,882,614,1896,1853,43,1853,1355,498,2020-01-01,zipcode,Riverdale
ZCTA5 07508,34,22562,80364,1447,355600,18436,6456,15805,1929,6094,3406,3024,1352,7780,7478,302,7478,4736,2742,2020-01-01,zipcode,Haledon
ZCTA5 07621,34,27375,102724,1420,369500,21820,6473,18749,1452,4563,4065,6268,2401,9376,9037,339,9037,6191,2846,2020-01-01,zipcode,Bergenfield
ZCTA5 07627,34,4911,153558,3501,716100,3698,1252,3232,51,195,555,1364,1067,1724,1672,52,1672,1401,271,2020-01-01,zipcode,Demarest
