"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
11,"Security Engineer","MYGRANT GLASS COMPANY INC","Remote in Orlando, FL 32837","$90,000 - $120,000 a year","Organizing computer security architecture and developing detailed cyber security designs.
Creating technical solutions and new security tools to help mitigate…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=bddbd04c780ebd9a&bb=nUCzAG8_dFntIz9Nl1JphssMA6PHb8rrofF1OzRIPLBpQ3wOEc8w_R4TDhoDeelOVm8Ej6qEgLZGlar5WSdl6nBN6EQyC2cTNJeA4xFN3FNSoxGucjswiz_HyozKS70j&xkcb=SoC667M3_Po5tCxTsB0AbzkdCdPP&fccid=e71545f7dd77d549&vjs=3"
12,"Security Engineer","Millennium Management","Miami, FL",,"Offer guidance and support to other IT and security teams, assisting them with security-related concerns.
At least one security certification preferred.","Posted
Posted 8 days ago","https://www.indeed.com/rc/clk?jk=8f326da13d514530&bb=nUCzAG8_dFntIz9Nl1JphtkjCtBMVgIpKvJ-rOmzPH8f9FpBaexZqs33rtUbX1QCg-XAAFtBc6DQRZNbapW9gcFwuLdWZqeYs8BpecDVEwtiURrTzCAd_FfBO2_9tA8l&xkcb=SoA067M3_Po5tCxTsB0HbzkdCdPP&fccid=a8e93c8399e450e8&vjs=3"
13,"Senior IT Cyber Security Engineer","ashley furniture","Tampa, FL 33607 
(Northeast Macfarlane area)",,"Knowledge of information security standards and best practice.
Provides 3rd level support and troubleshooting for issues escalated from more junior engineers on…","Posted
Posted 12 days ago","https://www.indeed.com/rc/clk?jk=07b85e0efbe51052&bb=nUCzAG8_dFntIz9Nl1JphlzXhemzk16ies_pHwl0sBdn_F8JNVG5M9pSZcS2-1Q4B7nzpLRbXdiaAcw-ioFZNtsdQ_zrcOk-7XBnjr71jBR4aHH1fEV96i7sXA1Y_1Rx&xkcb=SoCA67M3_Po5tCxTsB0GbzkdCdPP&fccid=764d835ecb2bbfdd&vjs=3"
14,"Lead Information Security Engineer","EverBank N.A.","Hybrid work in Jacksonville, FL 32202","$119,100 - $161,100 a year","Communicates with cybersecurity risk and security operation teams to enhance the overall security posture of the enterprise.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=2c989fc251af5c41&bb=nUCzAG8_dFntIz9Nl1Jphnr_lUNH7ViXzGbDPvYmYSEWQW6zSMuiZZR_W0EFHD73vOeo8mc1Jkmqzwmh61k8lPOUE7HAtr2e7tqQL0ua_-9O_spXybNtz_riP3fTyWkF&xkcb=SoAd67M3_Po5tCxTsB0FbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
15,"Sr. Security Engineer, Tanium/AWS/Qualys - AVP","MUFG Bank, Ltd.","Hybrid work in Tampa, FL 33607","$100,000 - $125,000 a year","Demonstrate in-depth knowledge of concepts, best practices and controls in a breadth of information security areas/domains; these information security areas…","Posted
Posted 30+ days ago","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmIoLEfx3e5FKWdzPrCZVymN6nI1W4eX3Ta9yHxbrh7ZgLWpkiUKmkIMUlIR3bmBTJdvnWLmGSoH8UHZ901BkKexto4xW8onS5UOPczh78QDZREbUjlecClJi5zA3xyl2X2z2iAdSNuJDMysHnQ3l4A6L6KTHYJ_8jwYoGt_jH0vGwl-CfJeu7pAbZKu_OJwoCVyFA5bgi8loEk7rBBi0QS0nLklgxk0RsJq3Qnil4CwUIe1s5Yspfe16kXqH5_FkjdBKYxUKcqSpWtOcb4XMyoJCSsWtWS0rVx1t5BkD3pqoDpD5oSfNsZUI2R-drrJECidPcmSWkt-rl7xKP_O7fQzdngeRcQEDMAGBOoEiMv32oD6kfJU11GSdVhUoL-ItaMN2XklMl7M2UYiRrQjjsMF6pw-56kROYSGT0NMJJN9tFz99BHCMGg5loZ5zCobx5eTZf5X2aqxGHo-P5hautMdgxbf67mEw69AhkaI93nz_yCiuR6yAJ_Dwni1AXZWk1ZgrYNga8BIquv6Ys14WN_7SIk7vn7vlUoDGNnrTVL3sz8qOq-Sw1HU8Dl_gzH_PHcPjpz8yot53C1qwNy7gOmjC4HXzOXGvHn5sWG3vNWGHVbMEYqArpIzh_mz02s1qnzNatG6ssqISw9H7rdYy5BV_3m2kEP7l6LxlCxeAVdbpPa7QP5RYduOlpoUq3kCsqzNjaNjFCvgDP4KFl7Un7qtTqHKSdYJq1exKrrjZRXqwHu0PFieGvnZaKvnVOt29p5iPVZCxcrUiSIlcGmUiZoZTdY2hVs67XlvAcR70Euo1D6bMKp86uAM-RItOaBRM=&xkcb=SoBd6_M3_Po5tCxTsB0EbzkdCdPP&camk=f416UQcMBpB1LqLOiQTPGA==&p=14&fvj=0&vjs=3"
16,"Systems Engineer - Cyber Security (Palo Alto)","Penske Truck Leasing and Logistics","Tampa, FL 33609 
(Beach Park area)",,"Provide security reviews and define security models for new systems.
You will provide security reviews and define security models for new systems based on…","Posted
Posted 17 days ago","https://www.indeed.com/rc/clk?jk=6464916bb1494bc3&bb=cZAUEec6x50kgTUsPRBKOzJS0VLzbEgViAHmiG-1fydgF219Hqc60TOr2wPafrclIDpt6f6YwTevw_acgVBVFz0yFASEHWbsfj98v7gTLBGENB9r5Czdfg%3D%3D&xkcb=SoCZ67M3_Po5KSxgRh0LbzkdCdPP&fccid=a0c8218c689a356a&vjs=3"
17,"Cyber Analytics and Countermeasures Engineer","Booz Allen","Pensacola, FL","$67,700 - $154,000 a year","The successful candidate will support a large federal cyber security analytic program - contributing to the knowledge of how cyber-attacks work, how…","Posted
Posted 16 days ago","https://www.indeed.com/rc/clk?jk=b04286ae144fd024&bb=cZAUEec6x50kgTUsPRBKO09reSrIOatQaUKQv1F9sroWL2QpsWfk6P9U3jQ_7NT7c-EIXyF_5WFA6G2irNkZn4EkdldMWdERZexj1OUb7VOnlZgmRRpCUsjZGueciX6B&xkcb=SoAt67M3_Po5KSxgRh0KbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3"
18,"Cyber & Information Security Engineer","Atlantis, Paradise Island","Plantation, FL",,"The r will be responsible for testing and screening security software and for monitoring networks and systems for security breaches or intrusions.","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=8cc75d084a720189&bb=cZAUEec6x50kgTUsPRBKO8_YD_sJjkNf4Pm7PgQX-82nTKAQ4ylJNBauAbcymgFOSQjfyn79CbmdKhB9G24-GwB4wSc1GVnMLxhuQ-t3wI3k2tyKcBy79Gcjs8ruHLhs&xkcb=SoCw67M3_Po5KSxgRh0JbzkdCdPP&fccid=be143a8f9b6c705a&cmp=Brookfield-Hospitality-Properties&ti=IT+Security+Specialist&vjs=3"
19,"ForgeRock Security Engineer","cloudteam","Remote in Jacksonville, FL 32256",,"Proficiency of UNIX/Linux security and tools used to administer security in these environments.
Investigates business processes to understand and implement…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=1f28966e3c83dfc4&bb=cZAUEec6x50kgTUsPRBKOzxdshZm-zTp_3BXTpswSjet4dHx3BT5h0XKKp929P6JOLgoQeWR8z_XQownMff2I24D08UCFZhraW9h9gEzvniKuR8u35F00dZG4F-21Xmg&xkcb=SoAE67M3_Po5KSxgRh0IbzkdCdPP&fccid=8e2d5787f67bc92e&vjs=3"
20,"Cyber Data Lake Engineer","Deepwatch","Remote in Tampa, FL",,"As a cyber data engineer at Deepwatch, you are proficient in designing and developing advanced cyber-relevant data lake solutions to end-to-end data…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=969d244f6afc21f7&bb=cZAUEec6x50kgTUsPRBKO8xOYyS_-NSl0jY3da4lWwNR6l4Xxejeqev_g_BNs5lnCnfyR_IGMLsc_EFR0wvyHnOY0xdjYM7i5eZe_LsApPMh38GnDoXwoqdfF9sU3k9Q&xkcb=SoCK67M3_Po5KSxgRh0PbzkdCdPP&fccid=00c7b964396bad1f&vjs=3"
