"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
41,"Vulnerability Research and Reverse Engineer (Onsite)","Raytheon","Palm Bay, FL","$64,000 - $128,000 a year","All candidates must be US citizens and be able to obtain and maintain a government security clearance.
The Cybersecurity, Intelligence and Services (CIS)…","Posted
Posted 5 days ago","https://www.indeed.com/rc/clk?jk=df5b9544a52dd077&bb=-MpGhMalZXaLp8phYycCSxndqs2Ng5WLaYysDRjJ28l4MeRH890DjiqNDA4yKu_2JAYDhczA4s6H8TIZDtbnP3RG4cub8mvwhnJ9wBGMpHpvoZ2brfu2oQ%3D%3D&xkcb=SoCc67M3_Po452RgRh1FbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
42,"Senior Engineer, Cloud Security","Intercontinental Exchange Holdings, Inc.","Jacksonville, FL 32204 
(Brooklyn area)",,"Ensure efficient functioning of data storage and process functions in accordance with company security policies and best practices in cloud security.","Posted
Posted 11 days ago","https://www.indeed.com/rc/clk?jk=2a1cf541fc5315c7&bb=-MpGhMalZXaLp8phYycCS9D9f6Md_biQz8PfBrVt4ZspFnOQ4_1t-cPG3olxlk7IlMWSF3-dyZhlMq0kUF3jKRycpGSl98Smci81dzWZdUujEAGJb6Ow6XXWsvTEvkGS&xkcb=SoAP67M3_Po452RgRh1bbzkdCdPP&fccid=306f81e1483f7d82&vjs=3"
43,"Sr Information Security Systems Engineer","Comtec IT Services","Melbourne, FL 32934","$80 - $83 an hour","Developing security architectures: 8 years (Preferred).
Develop, maintain and publish network security technical documentation in accordance with L3Harris…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=a957f1aa36c52918&bb=-MpGhMalZXaLp8phYycCS-cfrOnJesnOo5o5K5-SA19MAry6sbcMorn3bMv3H5zAcVIh5zt6300Yqg2w9EhLHCDvZefS_qOIjc9dZiQBlX94kFbztfetPI5z2XUXLkUk&xkcb=SoAm67M3_Po452RgRh1ZbzkdCdPP&fccid=afc7687fc76b1a09&cmp=Comtec-IT-Services&ti=Security+Systems+Engineer&vjs=3"
44,"Cloud Security Engineer","City National Bank of Florida","Miami, FL 33131 
(Downtown area)",,"Perform security assessments and audits of cloud environments and identify and remediate any security gaps or vulnerabilities where feasible.","Posted
Posted 30 days ago","https://www.indeed.com/rc/clk?jk=7b0d2c334cc1d420&bb=-MpGhMalZXaLp8phYycCSxndqs2Ng5WLoUH1rXPnRRHnIBlWxYFSgnl7ld9BBIA55pVGWv03_QXIfRy9EzlYOdKFoQoyl2a0GllWH7pan1ByU6p08SGAR1FFkmaeacjQ&xkcb=SoAc67M3_Po452RgRh1fbzkdCdPP&fccid=5524a4d8649d40bd&vjs=3"
45,"Weapons Systems Security Engineer","Axient LLC","Eglin AFB, FL 32542",,"Assists in establishing and maintaining a comprehensive security program as documented in the Program Protection Plan (PPP) plan throughout the system life…","Posted
Posted 22 days ago","https://www.indeed.com/rc/clk?jk=c973373b2578ea4d&bb=-MpGhMalZXaLp8phYycCS0uFAgNYz5cSs7ecwWnVkQYnWA4Y1WJOh9oB4Jaki6HKW7AU3rOYgdzAowXffYheW3CK7fMh_GsRRvkEK_KqR66eFcKcetbdi_vn2c3Y4G6F&xkcb=SoCo67M3_Po452RgRh1ebzkdCdPP&fccid=a86c328d2dc4001d&vjs=3"
46,"Weapons Systems Security Engineer","Axient LLC","Eglin AFB, FL 32542",,"Assists in establishing and maintaining a comprehensive security program as documented in the Program Protection Plan (PPP) plan throughout the system life…","Posted
Posted 22 days ago","https://www.indeed.com/rc/clk?jk=c973373b2578ea4d&bb=QetOGEtHljkVciN2Ar9V7fwJVm6KMZDYOcyidgDrZoqRjgJBJuEt_A75V73ITFdNq9ygXijKRixsA-rg02O-gnoNqMa4_tq1VTJzEjj3AtotBBIgE1Fttcwhb21rgw-5&xkcb=SoAi67M3_Po4TagHzL0LbzkdCdPP&fccid=a86c328d2dc4001d&vjs=3"
47,"Cyber Training Range Engineer","Namauu Technological & Industrial","Hurlburt Field, FL","$85,000 - $140,000 a year","Knowledge of the cyber threat landscape and familiarity with common attack vectors and defense mechanisms.
Creativity and technical writing skills to develop…","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=1fd3bc743b288040&bb=QetOGEtHljkVciN2Ar9V7XibnwflIF-dJq6sSfvsfJ4weMTip9QGkUc9rYh6rJS5SAyvuegIMMt4Yw19d1qwpDJRUjBNfk_w9e07G5rz4Km2w1loLt2uw0frSUexzB3I&xkcb=SoCW67M3_Po4TagHzL0KbzkdCdPP&fccid=6f677b9d402dad3e&cmp=Namauu-Technological-%2526-Industrial&ti=Engineer&vjs=3"
48,"Senior Security Engineer","Pomeroy","Tampa, FL","$100,000 - $130,000 a year","Tasks also include the upkeep, implementation, monitoring, support, and troubleshooting of network/application/endpoint security.","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=6cdab6647414948d&bb=QetOGEtHljkVciN2Ar9V7f7g7HDbKXjGyhjfCJejoOsaenk2N43dBEkPRJgxBe-zhAgOeQi6OMkbeHcNDtVM05kSg9YW_IeK5QhUhUR_5ZcHp9tB710wmthopSIT36NA&xkcb=SoAL67M3_Po4TagHzL0JbzkdCdPP&fccid=9d8cd93c4ce7c8df&cmp=Pomeroy-Technologies&ti=Security+Engineer&vjs=3"
49,"Senior Systems Security Engineer (Hybrid)","Raytheon","Largo, FL 33777","$77,000 - $163,000 a year","Active and transferable U.S. government issued Secret security clearance is required prior to start date.
U.S. citizenship is required, as only U.S. citizens…","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=33f5ea12380510ce&bb=QetOGEtHljkVciN2Ar9V7SewjIuaaFG3Gt33-cntaPmGEHZisxLQcIQXNjuM0Vu638D8ujLIngYTZJH5wqC_OzMlaQTDTkbcQdCQJXNrDcF7Y6y5S7BsiQ%3D%3D&xkcb=SoC_67M3_Po4TagHzL0IbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
50,"Cyber Engineer - SME","CACI","Orlando, FL 32828","$85,000 - $178,600 a year","Well versed in DoD cyber security Assessment and Authorizations (A&A) DoD Implementation, Directives, NIST Special Publications and other government cyber…","Posted
Posted 3 days ago","https://www.indeed.com/rc/clk?jk=0513411740e7f786&bb=QetOGEtHljkVciN2Ar9V7Uk4xaT1GCXzF8eM47GtjbdLtLCAj1tv6MXpz9Ie7gdnW2lE4Rt9K9rlfZl46M9ZwZZhe4-G75rqfU9XjEnsEUI-c7VkhkTWyA%3D%3D&xkcb=SoAx67M3_Po4TagHzL0PbzkdCdPP&fccid=5fca42294cdbc080&vjs=3"
51,"Senior Vulnerability and Lethality Engineer","Applied Research Associates, Inc","Niceville, FL 32578",,"US. Citizenship: all applicants selected will be subject to a government security investigation and must be able to acquire and maintain a DoD security…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=92f59951cdf25f6f&bb=QetOGEtHljkVciN2Ar9V7cl9491SVElCbgZVYVJGMkuyU9MhSjKCIVHt7R7TXthbCNTO89mooAgF_4j9uTRcJzW5H_43GRTYlaC2mgwV-rUbrjUAqGEoWkuLs7FCstbr&xkcb=SoCF67M3_Po4TagHzL0ObzkdCdPP&fccid=600e6abd00b4b668&vjs=3"
52,"IT Security Engineer, Full-time","Brooks Rehabilitation","Jacksonville, FL 32216 
(Sans Souci area)",,"Select and acquire additional security solutions or enhancements to existing security solutions to improve overall enterprise security per the enterprise’s…","Posted
Posted 24 days ago","https://www.indeed.com/rc/clk?jk=dc99ad584146024b&bb=QetOGEtHljkVciN2Ar9V7a__6AUI2bGIJ8WUMBE1xtTCBH8ezubAa1YozhI-gtaf2RH_4mRlVmZ6XLvEMA2nBsBDArUszF840pjT8w8iwKP_hNDsBpxVyg%3D%3D&xkcb=SoAY67M3_Po4TagHzL0NbzkdCdPP&fccid=cd23394df408f8ba&vjs=3"
53,"Global Security Engineer, Email Security","Check Point Software Technologies Ltd.","Miami, FL",,"Ability to create an end-to-end security solution for a customer’s environment.
Support of major POC opportunities worldwide, work closely with the Security…","Posted
Posted 8 days ago","https://www.indeed.com/rc/clk?jk=ea7528b415ec603c&bb=QetOGEtHljkVciN2Ar9V7WaeJ0DWYSi3ssU_FSxcuhx_Aj4Pb2GLQR9s63YwCIA760fik9FX2BoeRu8oaWlUSo88i_8lsUkXEkBDqY65e1cdbbUymWuMQud6sy8WrfTf&xkcb=SoCs67M3_Po4TagHzL0MbzkdCdPP&fccid=c1ee211a89cc3f56&vjs=3"
54,"Vulnerability Remediation Engineer - Assistant Vice President","Deutsche Bank","Hybrid work in Jacksonville, FL",,"Understanding of secure coding practices and application security principles.
Relevant experience in vulnerability management, network security, or a related…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d4220a18401a0c90&bb=QetOGEtHljkVciN2Ar9V7Q5Eh55ETlXH-bUstrqPr_cTUvzK9zgp0WRC20DBMCarQo_0HXT2jnML6GCr_5mxTO5Yditjfiw3RAJe-HxZz8V0NwwI303ycAGjEfBLC4BS&xkcb=SoBF67M3_Po4TagHzL0DbzkdCdPP&fccid=f1d8e147024abb3f&vjs=3"
55,"Security Engineering Manager","Lakeview Loan Servicing","Remote in Coral Gables, FL 33146",,"The Security Engineering Manager will implement a Cybersecurity Engineering practice and lead the overall security engineering team including, threat and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=0a97e3f3c776aa66&bb=QetOGEtHljkVciN2Ar9V7Sh5UKVE7Gf-Z7W2HlUEhlmfdvaZCaFwJ6zZeTX340jZ9zKWT_Wkrj9eX3l3L8uyXXDkaHGyUFpHcZ8ULx3gMg8br7IzXejKsLtD8pI_YiiJ&xkcb=SoDx67M3_Po4TagHzL0CbzkdCdPP&fccid=dde74e9dcd3c00c2&vjs=3"
56,"Sr. Threat and Vulnerability Management Engineer","Brown & Brown Insurance","Daytona Beach, FL 32114",,"Prepares status reports on security matters to develop security risk analysis scenarios and response procedures.
Knowledge of malware operation and indicators.","Posted
Posted 17 days ago","https://www.indeed.com/rc/clk?jk=11fdcd5239c568e4&bb=QetOGEtHljkVciN2Ar9V7QBBj5G5MZlmUyFC0q1F7b0iyW8aizXCzDIoot8fCnOApLuk3HWoaxOpLBSKn6jHt0JsNOD5p2wQKmWATqX6IQWqk9F-_25Lvjd9tKC-mH84&xkcb=SoBs67M3_Po4TagHzL0BbzkdCdPP&fccid=26f960259f86cb49&vjs=3"
57,"Cybersecurity Engineer","The JAAW Group","Hybrid work in Merritt Island, FL 32953",,"Monitor and analyze security events and incidents, detecting potential security breaches and taking prompt action to investigate and resolve issues.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=e725b414af7346b6&bb=QetOGEtHljkVciN2Ar9V7WZXKh_3AC-y2_8OBgwfQUcBVwX1IWB68cuNAJqF8xspIHP10W5tULJQ5wE2Sq8E58yvAhOvT1RZVFaYfgcJ3xEPoWHUCcf9clIJimNV9uSB&xkcb=SoDY67M3_Po4TagHzL0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
58,"Information Security Systems Engineer","COMTEC INFORMATION SYSTEMS","Palm Bay, FL",,"Develop, maintain and publish network security technical documentation in accordance with L3Harris Systems Engineering processes.
Expected hours: 40 per week.","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=5718203271a3d597&bb=QetOGEtHljkVciN2Ar9V7d-b26XwaCZSepz3LP3Df4iAXqSm5f9LWsgSmQMd-m-KtGVe_S_Xwl4FLTJBqZ1zDohB2bXlxaUqpQhKPoDNfV4elzh-7dhtaWnTL4qELzFW&xkcb=SoBW67M3_Po4TagHzL0HbzkdCdPP&fccid=6b4f9a73b118c2db&cmp=COMTEC-INFORMATION-SYSTEMS&ti=Security+Systems+Engineer&vjs=3"
59,"Lead Security DevOps Engineer (Virtual) - Cyber/GenAI","S&P Global","Tallahassee, FL 32301","$100,200 - $185,000 a year","5-7 years' experience in cyber security.
Integrate security checks at various stages of the CI/CD pipelines to ensure that security assessments are performed…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8a20cb1ac435c0da&bb=QetOGEtHljkVciN2Ar9V7RucYJVxG64HEYrGgHSzzYM4ofE2DWtcvgwqheK9Ae0GtzR5jRhCWn6KG9RJqHgr7xbP5nH9eHvWMQwGRcFLh7Ie9mrVsnC1NouOI2vv26hz&xkcb=SoDi67M3_Po4TagHzL0GbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3"
60,"Cloud Security Engineering Manager","BankUnited","Miami Lakes, FL 33016",,"Understand network security policies and introduce and implement security standards and best practices for cloud engineering.","Posted
Posted 24 days ago","https://www.indeed.com/rc/clk?jk=d986aaa5b363a228&bb=QetOGEtHljkVciN2Ar9V7QwS64wW1OCUsQrPGwxraNRkNG2VZmPdtct1BRr5fgPH3OoF5cYON64ob_6utM9v03m4VFElr2JQu5vKw4ebccTflQSbE3-Imw%3D%3D&xkcb=SoB_67M3_Po4TagHzL0FbzkdCdPP&fccid=5500c50eab3ba786&vjs=3"
61,"Cloud Security Engineering Manager","BankUnited","Miami Lakes, FL 33016",,"Understand network security policies and introduce and implement security standards and best practices for cloud engineering.","Posted
Posted 24 days ago","https://www.indeed.com/rc/clk?jk=d986aaa5b363a228&bb=S6AebpWqO8AEM7uA8mUE7Y-WDPBJ6U4OgG6Y-h2J2FDuSGP856jzQhHdv9I4mY99jy3Ynmrjoejn4Q2AfbXGD4AjKhMeLnCDMTf36Ce07iZr0XejpmCxCw%3D%3D&xkcb=SoBi67M3_Po4ObgHzL0LbzkdCdPP&fccid=5500c50eab3ba786&vjs=3"
62,"Sr Engineer, IT Governance & Cybersecurity","Universal Orlando Resort","Orlando, FL",,"Extensive experience with hardware/software security lifecycle including regulations such as PCI, HIPAA, SOX etc.
7+ years relevant experience required.","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=199b12ee05277fba&bb=S6AebpWqO8AEM7uA8mUE7cgfG2-Lk6XiYdF7tN5IjphECV3xPdx0xs9AjtSGedXZ8LXyXadFS57vhMOYiVJFg-eKhPDNVvkeFrhs0kGMQewPxX37fvD0oO-GijoyyqOM&xkcb=SoDW67M3_Po4ObgHzL0KbzkdCdPP&fccid=8a2e5e25a9623039&vjs=3"
63,"GenAI Lead Application Security Engineer - Remote","S&P Global","Remote in Tallahassee, FL 32301","$116,600 - $200,100 a year","We are looking for a Senior security engineer responsible for development and implementation of security architecture and engineering best practices across S&P…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=a1489a073ded0b2c&bb=S6AebpWqO8AEM7uA8mUE7Zr0TY0zFWICTIrBPH_dbvOocA-euuEOTvq4SL5tBQsGXDjwpFivIfoj0TjvxUndRBBiHEoqOru4Kh1Uj2KC3BFxQ0TW3STRYZEXD5IKEo6h&xkcb=SoBL67M3_Po4ObgHzL0JbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3"
64,"Cloud Security Engineer","Deloitte","Boca Raton, FL",,"Building and operating automated security operations.
Establish security controls to help protect client systems.
Manage migration process of application data.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=c7bf4a9d5f5cebac&bb=S6AebpWqO8AEM7uA8mUE7c-8nuCaeAHZV8U9zK_8739LgWhkIA_DYlFqvD-_l8Ytm5in5PXvWubPjFtg6AVO5p97u94M_LUAben8kvE97OyDKbBDZqnutg%3D%3D&xkcb=SoD_67M3_Po4ObgHzL0IbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
65,"Medical Device Security Engineer","Nicklaus Children's Hospital","Miami, FL 33155",,"Manages IOT cyber solutions and maintains operational security metrics to measure the effectiveness of security controls and identify opportunities for…","Posted
Posted 2 days ago","https://www.indeed.com/rc/clk?jk=2e66a2b166682092&bb=S6AebpWqO8AEM7uA8mUE7QKYkxI66TWkkdt-edfAwQ013nQEu-gxUV_n0IFJ1tyYCWna-uOOcwnMh4robe6sPJ-JvliRt9kCS8FAGHoYuQnYh1EtCSaBFWE4dIRWDuH4&xkcb=SoBx67M3_Po4ObgHzL0PbzkdCdPP&fccid=ae3fe7fced0b0ace&vjs=3"
66,"Sr. Cyber Integration Engineer","Deepwatch","Remote in Tampa, FL",,"Ensure integrations meet performance, reliability, and security standards.
Provide technical guidance and mentorship to junior integration engineers, fostering…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=897e26ccd44ba3fb&bb=S6AebpWqO8AEM7uA8mUE7WejXJmGWBttnBXxviUxcCQQR9oBMLTq1zHzGQ5AD3itngpPFaCTdbm-qHd3fZ3Yp1vAddrlfPJa-iiBCs5zwIKo-rmAHybkYq23HpOaOt1o&xkcb=SoDF67M3_Po4ObgHzL0ObzkdCdPP&fccid=00c7b964396bad1f&vjs=3"
67,"Systems Security Engineer (Hybrid)","Raytheon","Largo, FL 33777","$64,000 - $128,000 a year","Active and transferable U.S. government issued Secret security clearance is required prior to start date.
U.S. citizenship is required, as only U.S. citizens…","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=78bbcc9f438b14ae&bb=S6AebpWqO8AEM7uA8mUE7duycoHX4AvC4Ea3L0i5U8t4D-juHruN8YmhX2p9pcQU4zIoaOPgvf_pHLdykGC0nqn3M51VVzRlrN8bmKNIANh-MsfYkIYT8w%3D%3D&xkcb=SoBY67M3_Po4ObgHzL0NbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
68,"Senior Detection Engineer","Deepwatch","Remote in Tampa, FL",,"Ability to mentor other detection engineers.
Understanding of general enterprise network architecture and security incident response.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=dde980cf5c729915&bb=S6AebpWqO8AEM7uA8mUE7b7kIlrcL4Mw0WRpI7scFvcHA1EqBBIgsRZVeToHF-xUqWLhnjwgSWhGNJUNaPkMP0Mk6JmVkowcmhJbNP61Z_syteXiokQmTwFIkrOJ40uC&xkcb=SoDs67M3_Po4ObgHzL0MbzkdCdPP&fccid=00c7b964396bad1f&vjs=3"
69,"Vulnerability Researcher /Reverse Engineer /Dev (Onsite)","Raytheon","Saint Petersburg, FL 33710 
(Azalea Homes area)","$77,000 - $163,000 a year","All candidates must be US citizens and be able to obtain and maintain a government security clearance.
The Cybersecurity, Intelligence and Services (CIS)…","Posted
Posted 6 days ago","https://www.indeed.com/rc/clk?jk=23acd7c48fa8a4aa&bb=S6AebpWqO8AEM7uA8mUE7Wj_Dy97a93zOyeDl60tW1gxcjrvrdObjSgp3GoYQSIig9ZCXBZyIfZV7HbZopBBFVcSboTCG0e3kBZYcbNe1Bymr8FCWQiTuw%3D%3D&xkcb=SoAF67M3_Po4ObgHzL0DbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
70,"Cloud Security Engineer","Fabergent","Miami, FL",,"Technical knowledge in security engineering, system and network security, authentication and security protocols, cryptography, and application security.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=311eaad8b2d00e80&bb=S6AebpWqO8AEM7uA8mUE7ZCFr-nEEcFzaatuIaRc-XpuqWdpmiwe2hq4WPvkFAFyeSbS_fTveN-M5Nw8agqyIyL2wp-fC13O5rlXiysDZ7OU7_V4Ar81N7avdj8_JZ8E&xkcb=SoCx67M3_Po4ObgHzL0CbzkdCdPP&fccid=8c80ee8966f60d1c&vjs=3"
71,"Lead, Information Security Systems Engineer (ISSE)","L3Harris Technologies","Melbourne, FL",,"Experience developing network security architectures.
Lead Security Systems Engineering efforts on new business pursuits responsible for developing network…","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=6013018e623e91f8&bb=S6AebpWqO8AEM7uA8mUE7bDUjUaJSXFAOlmst2uffV4onviaaY1ZhoCKnJguilKmQpWY9kophuzIVYqi4UK5EbuZH8m3flgKD635Wr8PZASNhZlFWVShB0VDq0VCTb9x&xkcb=SoAs67M3_Po4ObgHzL0BbzkdCdPP&fccid=6c6be4ac01722b08&vjs=3"
72,"System Administrator","Ouverture Consulting Services, LLC dba Black Rock...","Cape Canaveral, FL",,"Knowledge of data communications protocols (TCP/IP); principles and practices of security implementation in the areas of data communications and information…","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=0bb64b4e09fbed94&bb=S6AebpWqO8AEM7uA8mUE7QBeTpr3IjaLcQ-ZZVqikR2whTl5wpsjWQbxxb6bAhLcNMbgCK17zEdk4FKGmWDKRbi_uQUZCnIUbaMHTQ3TyJ5MYAZZ8fNklX7ooznMTSW-&xkcb=SoCY67M3_Po4ObgHzL0AbzkdCdPP&fccid=47b63b62879570d2&cmp=Ouverture-Consulting-Services%2C-LLC&ti=Systems+Administrator&vjs=3"
73,"Network/Cyber Security Engineers","Thinksoft Technologies","Lutz, FL 33558",,"Work with network security tools & designing tools like as Microsoft Visio, Cisco Prime, Splunk, Alian-Vault, Network Management Tools, ASDM, FMC, Palo Alto GUI…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=218ae037046d7f0e&bb=S6AebpWqO8AEM7uA8mUE7Ty0uuOFkuxBdMeh1nHWtB6egg2sg0nNy-yBXtuz74Vc2S3AWMPqYUnfvZRR0yiNbnebMFqZmHiT9Tss4G76Cr6N1NM8wALwei1XuQ4tPnHB&xkcb=SoAW67M3_Po4ObgHzL0HbzkdCdPP&fccid=6da457b6598a10bc&vjs=3"
74,"Electronic Warfare, Systems Engineering Specialist (Active Secret Security Clearance)","L3Harris Technologies","Palm Bay, FL",,"For 60 years, customers have turned to L3Harris capabilities in Electronic Warfare (EW) to dominate the electromagnetic spectrum.","Posted
Posted 11 days ago","https://www.indeed.com/rc/clk?jk=a929f618fa09314f&bb=S6AebpWqO8AEM7uA8mUE7Zr0TY0zFWICM6jT96JKSr7HjceqGuLV3co20zaoabexjQf5ile7OMLLA9HSDVQv23ja5450LYV5fAqkBSfp4ABw0xrShF3AQMEu0BQ6JPd1&xkcb=SoCi67M3_Po4ObgHzL0GbzkdCdPP&fccid=6c6be4ac01722b08&vjs=3"
75,"Senior Cybersecurity Engineer","Oshkosh Corporation","Orlando, FL",,"Advocate for cyber risk mitigation during planning sessions and implementational of new services.
Contribute to the development and maintenance of the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8ea767fe1a0b8b5a&bb=S6AebpWqO8AEM7uA8mUE7TP5dVcKSYj_UHzIcIFbbdEW8hVwQfm4tPPQ6uwTDKo0uvk7kzdisI4giOam_Iq5bG41LjA0_mtbEbPZfZnFHzopD2O7LNK7Hg%3D%3D&xkcb=SoA_67M3_Po4ObgHzL0FbzkdCdPP&fccid=e403cfd8a9888a1c&vjs=3"
76,"IAM Engineer","InvestCloud, Inc.","Tampa, FL 33609 
(Carver City area)","$110,000 - $140,000 a year","Enforce strong authentication mechanisms, multi-factor authentication (MFA), and adaptive access controls to mitigate security risks and prevent unauthorized…","Employer
Active 12 days ago","https://www.indeed.com/rc/clk?jk=8f4d088630235ac0&bb=WKWOyuBx51mTnluckOTabqSDCk2nrfpks1L_NBhkb-ZOvuTo3GvqU_5Lb7ZGzGodZaHwvbWkMzcv4HebLZXg7E1R1fwjjfJMGTMfxumGCxXgPLbMHpFn2_nDae4bzSyf&xkcb=SoDL67M3_Po39og0zD0LbzkdCdPP&fccid=a51c8ec893395a61&vjs=3"
77,"Security Engineer - Penetration Testing","FDC Associates","Jupiter, FL 33458",,"Our security professionals are experienced, well-trained and have a comprehensive understanding of technology security issues.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=2184c0091832182b&bb=WKWOyuBx51mTnluckOTabusV_XXqK0xQd0_-hAP24aSsQBkEB7rJB_HSXa9agkcv-K4G78__XImzGJlnQj8QBp9wJYcsKWl0KYPrTWfq0WqVXkR8HacaRSb8WoQ7idm-&xkcb=SoB_67M3_Po39og0zD0KbzkdCdPP&fccid=d3b2e6e980b22527&vjs=3"
78,"Vulnerability Research & Reverse Engineer (Onsite)","Raytheon","Palm Bay, FL","$96,000 - $200,000 a year","Quick reaction cyber capability and effects development.
Oversee technical execution of teams up to 10 multi-disciplined engineers.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=1ffadb427d9cb89a&bb=WKWOyuBx51mTnluckOTabicQDrcv23U0Qiuxt1uDZmLgZk_HgRToeCNyERj6xIusONdxSEnJ7Qcef-Q_p-OKhICSuvCB0rDUubT0ZIdEB2dTh9kPmdvgoQ%3D%3D&xkcb=SoDi67M3_Po39og0zD0JbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
79,"Information Systems Security Engineer (ISSE)","Applied Research Associates, Inc","Niceville, FL 32578",,"Develop IT security, design, and enhancement policy.
Generate solutions and supporting artifacts for implementation of security or functionality requirements.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=5c9bb87a7173e1ab&bb=WKWOyuBx51mTnluckOTabkUDeroZF5zP8fNCBIRLWmI1FbFZHaT-QyhIyXsXXaf8aJa4z6ZNeyST8U2EbD_-KWCuYJsygDV_7KeRivqLd9NvJwznJ5KP0jSuxzsWMfkJ&xkcb=SoBW67M3_Po39og0zD0IbzkdCdPP&fccid=600e6abd00b4b668&vjs=3"
80,"Senior Cyber Security Engineer - Experience & Requirements: ServiceNow/AWS Security Hub/Guard Duty/SAFe/CISSP/ISSEP/CEH/GREM/ArcSight","Argo Cyber Systems","Pensacola, FL 32503",,"Support the configuration and administration of cyber security tools and systems.
Experience with commercial cyber tools and technologies.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=a8b916d14988f05e&bb=WKWOyuBx51mTnluckOTabkUDeroZF5zPDbNcnHgXc-wC3NI5XMh6hchCdMA5WWNf5dQscGuPOa5WylTS4UBCQnvzCRPh-Meho1bI1HuNLgrquroErfIT2ajCD9ThFXu8&xkcb=SoDY67M3_Po39og0zD0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
81,"Network Engineer (Mid)","ISPA Technology","Panama City Beach, FL 32408",,"Collaborate with cybersecurity teams to align network security measures with overall security policies and regulations.
Competitive salary and benefits package.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=5a47b7dd54f23fdb&bb=WKWOyuBx51mTnluckOTabnw3j_-3_So4u41LxOjAptlyrI7E8arSuRxfnlRSDtrsYC7Q-f8yzxhEAzyak7g0bcdCAOm1RsQ8WicffzG1fPNQU0i_Lc34U4kBK26xoY_y&xkcb=SoBs67M3_Po39og0zD0ObzkdCdPP&fccid=1c7ed79af7baa631&vjs=3"
82,"Cybersecurity Engineer","Dark Wolf Solutions","Hybrid work in Cape Canaveral, FL",,"Previous experience providing training in RMF or explaining cyber security concepts to others in a training like environment.
3+ years of relevant experience.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=f4960a70e543ad73&bb=WKWOyuBx51mTnluckOTabt1IwnOa4G1PyftrFoMCx9EG-8y0L93EFe1egxl_ZTffuYPSJ6fWwcOBzxf7QSp6PXgmCZ-xPp78PBUYeLP4Q_bTyYw7h_PCQoWMYxux_ZGw&xkcb=SoDx67M3_Po39og0zD0NbzkdCdPP&fccid=06ae465446de20ec&vjs=3"
83,"IT Security Analyst – Data Protection & Loss Prevention Engineer","Starr Companies","Destin, FL",,"Provide expert advice on data security best practices, emerging threats, and preventive measures.
Excellent analytical and problem-solving skills, with the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d445d5d79c1c1edb&bb=WKWOyuBx51mTnluckOTabiREBxZY23EDG0LLtThuBa1qRgfMaNlOutKq3MqCNry0blMXbmi515dP_lBH5BRc9Q86WaW3xu41wyroegIr1C5rLv1DeCCr3gF6MU6O51eA&xkcb=SoBF67M3_Po39og0zD0MbzkdCdPP&fccid=a64031f02900a058&vjs=3"
